========== 会话开始 2026-08-03 11:38:10.307 ==========
INFO | 日志文件 | D:\Qt\project\opencv\bin\debug\logs\app_20260803_113810.log
INFO | 应用 | 图像处理工具 1.0.0
11:38:10.307 | INFO | 程序启动
11:38:10.309 | INFO | 可执行文件 | D:/Qt/project/opencv/bin/debug/opencv.exe
11:38:10.309 | INFO | 图像内存上限 | 不限制
11:38:10.315 | INFO | 已加载插件翻译 | D:/Qt/project/opencv/bin/debug/plugins/block_binarization_en.qm
11:38:10.316 | INFO | 已加载外部插件 | block_binarization.dll → 二值化处理
11:38:10.319 | INFO | 已加载插件翻译 | D:/Qt/project/opencv/bin/debug/plugins/block_filter_en.qm
11:38:10.319 | INFO | 已加载外部插件 | block_filter.dll → 滤波处理
11:38:10.321 | INFO | 已加载插件翻译 | D:/Qt/project/opencv/bin/debug/plugins/block_glcm_en.qm
11:38:10.322 | INFO | 已加载外部插件 | block_glcm.dll → 灰度共生矩阵
11:38:10.324 | INFO | 已加载插件翻译 | D:/Qt/project/opencv/bin/debug/plugins/block_graytransform_en.qm
11:38:10.325 | INFO | 已加载外部插件 | block_graytransform.dll → 灰度变换
11:38:10.327 | INFO | 已加载插件翻译 | D:/Qt/project/opencv/bin/debug/plugins/block_morphology_en.qm
11:38:10.327 | INFO | 已加载外部插件 | block_morphology.dll → 形态学处理
11:38:10.331 | INFO | 已加载插件翻译 | D:/Qt/project/opencv/bin/debug/plugins/block_pseudocolor_en.qm
11:38:10.332 | INFO | 已加载外部插件 | block_pseudocolor.dll → 伪彩色处理
11:38:10.332 | INFO | 尝试插件目录 | D:/Qt/project/opencv/bin/debug/plugins → 6
11:38:10.333 | INFO | 算法插件 | 目录=D:/Qt/project/opencv/bin/debug/plugins 加载=6
11:38:10.425 | INFO | 会话已加载 | path=D:/Qt/project/opencv/bin/debug/sessions/app_sessions.json count=32
11:38:11.005 | INFO | 切换主题 | light
11:38:11.100 | INFO | 主窗口已显示
11:38:20.614 | INFO | 打开文件夹 | dir=C:/Users/Admin/Desktop/图片 count=31
11:38:22.793 | INFO | 清空处理链 | removed=0 reprocessAfter=否
11:38:22.841 | INFO | 添加处理块 | name=二值化处理 index=0
11:38:22.842 | INFO | 恢复会话 | blocks=1 rois=0
11:38:22.842 | INFO | 开始处理 | path=C:/Users/Admin/Desktop/图片/input.png blocks=1 enabled=1 rois=0 chain=[二值化处理]
11:38:22.872 | INFO | 执行处理块 | name=二值化处理 elapsed=29 ms rois=0
11:38:22.872 | INFO | 流水线结束 | total=30 ms steps=[二值化处理(29ms)]
11:38:22.873 | INFO | 处理完成 | elapsed=30 ms path=C:/Users/Admin/Desktop/图片/input.png result=1066x1061
11:38:22.874 | INFO | 加载图片 | path=C:/Users/Admin/Desktop/图片/input.png size=1066x1061 prev=(无) session=恢复 blocks=1 rois=0
11:38:29.922 | INFO | 保存会话 | path=C:/Users/Admin/Desktop/图片/input.png blocks=1 rois=0
11:38:29.926 | INFO | 会话已落盘 | path=D:/Qt/project/opencv/bin/debug/sessions/app_sessions.json count=32
11:38:29.929 | INFO | 清空处理链 | removed=1 reprocessAfter=否
11:38:29.948 | INFO | 添加处理块 | name=二值化处理 index=0
11:38:29.949 | INFO | 恢复会话 | blocks=1 rois=0
11:38:29.949 | INFO | 开始处理 | path=C:/Users/Admin/Desktop/图片/result.png blocks=1 enabled=1 rois=0 chain=[二值化处理]
11:38:29.977 | INFO | 执行处理块 | name=二值化处理 elapsed=26 ms rois=0
11:38:29.977 | INFO | 流水线结束 | total=27 ms steps=[二值化处理(26ms)]
11:38:29.979 | INFO | 处理完成 | elapsed=27 ms path=C:/Users/Admin/Desktop/图片/result.png result=1066x1061
11:38:29.980 | INFO | 加载图片 | path=C:/Users/Admin/Desktop/图片/result.png size=1066x1061 prev=C:/Users/Admin/Desktop/图片/input.png session=恢复 blocks=1 rois=0
11:38:31.402 | INFO | 保存会话 | path=C:/Users/Admin/Desktop/图片/result.png blocks=1 rois=0
11:38:31.404 | INFO | 会话已落盘 | path=D:/Qt/project/opencv/bin/debug/sessions/app_sessions.json count=32
11:38:31.407 | INFO | 清空处理链 | removed=1 reprocessAfter=否
11:38:31.423 | INFO | 添加处理块 | name=二值化处理 index=0
11:38:31.424 | INFO | 恢复会话 | blocks=1 rois=0
11:38:31.424 | INFO | 开始处理 | path=C:/Users/Admin/Desktop/图片/result1.png blocks=1 enabled=1 rois=0 chain=[二值化处理]
11:38:31.447 | INFO | 执行处理块 | name=二值化处理 elapsed=23 ms rois=0
11:38:31.449 | INFO | 流水线结束 | total=24 ms steps=[二值化处理(23ms)]
11:38:31.450 | INFO | 处理完成 | elapsed=24 ms path=C:/Users/Admin/Desktop/图片/result1.png result=1066x1061
11:38:31.450 | INFO | 加载图片 | path=C:/Users/Admin/Desktop/图片/result1.png size=1066x1061 prev=C:/Users/Admin/Desktop/图片/result.png session=恢复 blocks=1 rois=0
11:38:32.011 | INFO | 保存会话 | path=C:/Users/Admin/Desktop/图片/result1.png blocks=1 rois=0
11:38:32.014 | INFO | 会话已落盘 | path=D:/Qt/project/opencv/bin/debug/sessions/app_sessions.json count=32
11:38:32.016 | INFO | 清空处理链 | removed=1 reprocessAfter=否
11:38:32.032 | INFO | 添加处理块 | name=二值化处理 index=0
11:38:32.033 | INFO | 恢复会话 | blocks=1 rois=0
11:38:32.033 | INFO | 开始处理 | path=C:/Users/Admin/Desktop/图片/result2.png blocks=1 enabled=1 rois=0 chain=[二值化处理]
11:38:32.058 | INFO | 执行处理块 | name=二值化处理 elapsed=24 ms rois=0
11:38:32.059 | INFO | 流水线结束 | total=25 ms steps=[二值化处理(24ms)]
11:38:32.059 | INFO | 处理完成 | elapsed=25 ms path=C:/Users/Admin/Desktop/图片/result2.png result=1066x1061
11:38:32.060 | INFO | 加载图片 | path=C:/Users/Admin/Desktop/图片/result2.png size=1066x1061 prev=C:/Users/Admin/Desktop/图片/result1.png session=恢复 blocks=1 rois=0
11:38:32.621 | INFO | 保存会话 | path=C:/Users/Admin/Desktop/图片/result2.png blocks=1 rois=0
11:38:32.624 | INFO | 会话已落盘 | path=D:/Qt/project/opencv/bin/debug/sessions/app_sessions.json count=32
11:38:32.626 | INFO | 清空处理链 | removed=1 reprocessAfter=否
11:38:32.644 | INFO | 添加处理块 | name=二值化处理 index=0
11:38:32.644 | INFO | 恢复会话 | blocks=1 rois=0
11:38:32.645 | INFO | 开始处理 | path=C:/Users/Admin/Desktop/图片/壁纸.png blocks=1 enabled=1 rois=0 chain=[二值化处理]
11:38:32.682 | INFO | 执行处理块 | name=二值化处理 elapsed=36 ms rois=0
11:38:32.683 | INFO | 流水线结束 | total=38 ms steps=[二值化处理(36ms)]
11:38:32.683 | INFO | 处理完成 | elapsed=38 ms path=C:/Users/Admin/Desktop/图片/壁纸.png result=1672x942
11:38:32.684 | INFO | 加载图片 | path=C:/Users/Admin/Desktop/图片/壁纸.png size=1672x942 prev=C:/Users/Admin/Desktop/图片/result2.png session=恢复 blocks=1 rois=0
11:38:33.219 | INFO | 保存会话 | path=C:/Users/Admin/Desktop/图片/壁纸.png blocks=1 rois=0
11:38:33.222 | INFO | 会话已落盘 | path=D:/Qt/project/opencv/bin/debug/sessions/app_sessions.json count=32
11:38:33.225 | INFO | 清空处理链 | removed=1 reprocessAfter=否
11:38:33.242 | INFO | 添加处理块 | name=二值化处理 index=0
11:38:33.243 | INFO | 恢复会话 | blocks=1 rois=0
11:38:33.243 | INFO | 开始处理 | path=C:/Users/Admin/Desktop/图片/微信图片_20260730102112_51_4.jpg blocks=1 enabled=1 rois=0 chain=[二值化处理]
11:38:33.545 | INFO | 执行处理块 | name=二值化处理 elapsed=300 ms rois=0
11:38:33.545 | INFO | 流水线结束 | total=301 ms steps=[二值化处理(300ms)]
11:38:33.546 | INFO | 处理完成 | elapsed=301 ms path=C:/Users/Admin/Desktop/图片/微信图片_20260730102112_51_4.jpg result=4096x3072
