========== 会话开始 2026-08-03 11:42:56.040 ==========
INFO | 日志文件 | D:\Qt\project\opencv\bin\debug\logs\app_20260803_114256.log
INFO | 应用 | 图像处理工具 1.0.0
11:43:31.556 | INFO | 开始处理 | path=D:/opencv/opencv/sources/samples/data/LinuxLogo.jpg blocks=1 enabled=1 rois=0 chain=[二值化处理]
11:43:31.560 | INFO | 执行处理块 | name=二值化处理 elapsed=3 ms rois=0
11:43:31.560 | INFO | 流水线结束 | total=3 ms steps=[二值化处理(3ms)]
11:43:31.561 | INFO | 处理完成 | elapsed=3 ms path=D:/opencv/opencv/sources/samples/data/LinuxLogo.jpg result=320x240
11:43:31.562 | INFO | 加载图片 | path=D:/opencv/opencv/sources/samples/data/LinuxLogo.jpg size=320x240 prev=D:/opencv/opencv/sources/samples/data/HappyFish.jpg session=强制模板 blocks=1 rois=0
11:43:32.067 | INFO | 保存会话 | path=D:/opencv/opencv/sources/samples/data/LinuxLogo.jpg blocks=1 rois=0
11:43:32.069 | INFO | 清空处理链 | removed=1 reprocessAfter=否
11:43:32.085 | INFO | 添加处理块 | name=二值化处理 index=0
11:43:32.085 | INFO | 恢复会话 | blocks=1 rois=0
11:43:32.086 | INFO | 开始处理 | path=D:/opencv/opencv/sources/samples/data/WindowsLogo.jpg blocks=1 enabled=1 rois=0 chain=[二值化处理]
11:43:32.089 | INFO | 执行处理块 | name=二值化处理 elapsed=3 ms rois=0
11:43:32.090 | INFO | 流水线结束 | total=3 ms steps=[二值化处理(3ms)]
11:43:32.090 | INFO | 处理完成 | elapsed=3 ms path=D:/opencv/opencv/sources/samples/data/WindowsLogo.jpg result=320x240
11:43:32.091 | INFO | 加载图片 | path=D:/opencv/opencv/sources/samples/data/WindowsLogo.jpg size=320x240 prev=D:/opencv/opencv/sources/samples/data/LinuxLogo.jpg session=强制模板 blocks=1 rois=0
11:43:32.601 | INFO | 保存会话 | path=D:/opencv/opencv/sources/samples/data/WindowsLogo.jpg blocks=1 rois=0
11:43:32.602 | INFO | 清空处理链 | removed=1 reprocessAfter=否
11:43:32.618 | INFO | 添加处理块 | name=二值化处理 index=0
11:43:32.619 | INFO | 恢复会话 | blocks=1 rois=0
11:43:32.619 | INFO | 开始处理 | path=D:/opencv/opencv/sources/samples/data/aero1.jpg blocks=1 enabled=1 rois=0 chain=[二值化处理]
11:43:32.627 | INFO | 执行处理块 | name=二值化处理 elapsed=6 ms rois=0
11:43:32.627 | INFO | 流水线结束 | total=7 ms steps=[二值化处理(6ms)]
11:43:32.628 | INFO | 处理完成 | elapsed=7 ms path=D:/opencv/opencv/sources/samples/data/aero1.jpg result=640x480
11:43:32.629 | INFO | 加载图片 | path=D:/opencv/opencv/sources/samples/data/aero1.jpg size=640x480 prev=D:/opencv/opencv/sources/samples/data/WindowsLogo.jpg session=强制模板 blocks=1 rois=0
11:43:33.139 | INFO | 保存会话 | path=D:/opencv/opencv/sources/samples/data/aero1.jpg blocks=1 rois=0
11:43:33.140 | INFO | 清空处理链 | removed=1 reprocessAfter=否
11:43:33.156 | INFO | 添加处理块 | name=二值化处理 index=0
11:43:33.157 | INFO | 恢复会话 | blocks=1 rois=0
11:43:33.157 | INFO | 开始处理 | path=D:/opencv/opencv/sources/samples/data/aero3.jpg blocks=1 enabled=1 rois=0 chain=[二值化处理]
11:43:33.163 | INFO | 执行处理块 | name=二值化处理 elapsed=5 ms rois=0
11:43:33.164 | INFO | 流水线结束 | total=6 ms steps=[二值化处理(5ms)]
11:43:33.164 | INFO | 处理完成 | elapsed=6 ms path=D:/opencv/opencv/sources/samples/data/aero3.jpg result=640x480
11:43:33.165 | INFO | 加载图片 | path=D:/opencv/opencv/sources/samples/data/aero3.jpg size=640x480 prev=D:/opencv/opencv/sources/samples/data/aero1.jpg session=强制模板 blocks=1 rois=0
11:43:33.680 | INFO | 保存会话 | path=D:/opencv/opencv/sources/samples/data/aero3.jpg blocks=1 rois=0
11:43:33.683 | INFO | 清空处理链 | removed=1 reprocessAfter=否
11:43:33.698 | INFO | 添加处理块 | name=二值化处理 index=0
11:43:33.699 | INFO | 恢复会话 | blocks=1 rois=0
11:43:33.699 | INFO | 开始处理 | path=D:/opencv/opencv/sources/samples/data/aloeGT.png blocks=1 enabled=1 rois=0 chain=[二值化处理]
11:43:33.727 | INFO | 执行处理块 | name=二值化处理 elapsed=26 ms rois=0
11:43:33.728 | INFO | 流水线结束 | total=27 ms steps=[二值化处理(26ms)]
11:43:33.728 | INFO | 处理完成 | elapsed=27 ms path=D:/opencv/opencv/sources/samples/data/aloeGT.png result=1282x1110
11:43:33.729 | INFO | 加载图片 | path=D:/opencv/opencv/sources/samples/data/aloeGT.png size=1282x1110 prev=D:/opencv/opencv/sources/samples/data/aero3.jpg session=强制模板 blocks=1 rois=0
11:43:34.259 | INFO | 保存会话 | path=D:/opencv/opencv/sources/samples/data/aloeGT.png blocks=1 rois=0
11:43:34.262 | INFO | 清空处理链 | removed=1 reprocessAfter=否
11:43:34.278 | INFO | 添加处理块 | name=二值化处理 index=0
11:43:34.279 | INFO | 恢复会话 | blocks=1 rois=0
11:43:34.279 | INFO | 开始处理 | path=D:/opencv/opencv/sources/samples/data/aloeL.jpg blocks=1 enabled=1 rois=0 chain=[二值化处理]
11:43:34.309 | INFO | 执行处理块 | name=二值化处理 elapsed=28 ms rois=0
11:43:34.309 | INFO | 流水线结束 | total=29 ms steps=[二值化处理(28ms)]
11:43:34.309 | INFO | 处理完成 | elapsed=29 ms path=D:/opencv/opencv/sources/samples/data/aloeL.jpg result=1282x1110
11:43:34.310 | INFO | 加载图片 | path=D:/opencv/opencv/sources/samples/data/aloeL.jpg size=1282x1110 prev=D:/opencv/opencv/sources/samples/data/aloeGT.png session=强制模板 blocks=1 rois=0
11:43:34.842 | INFO | 保存会话 | path=D:/opencv/opencv/sources/samples/data/aloeL.jpg blocks=1 rois=0
11:43:34.845 | INFO | 清空处理链 | removed=1 reprocessAfter=否
11:43:34.862 | INFO | 添加处理块 | name=二值化处理 index=0
11:43:34.862 | INFO | 恢复会话 | blocks=1 rois=0
11:43:34.863 | INFO | 开始处理 | path=D:/opencv/opencv/sources/samples/data/aloeR.jpg blocks=1 enabled=1 rois=0 chain=[二值化处理]
11:43:34.890 | INFO | 执行处理块 | name=二值化处理 elapsed=27 ms rois=0
11:43:34.891 | INFO | 流水线结束 | total=28 ms steps=[二值化处理(27ms)]
11:43:34.892 | INFO | 处理完成 | elapsed=28 ms path=D:/opencv/opencv/sources/samples/data/aloeR.jpg result=1282x1110
11:43:34.892 | INFO | 加载图片 | path=D:/opencv/opencv/sources/samples/data/aloeR.jpg size=1282x1110 prev=D:/opencv/opencv/sources/samples/data/aloeL.jpg session=强制模板 blocks=1 rois=0
