========== 会话开始 2026-08-03 10:32:01.895 ==========
INFO | 日志文件 | D:\Qt\project\opencv\bin\debug\logs\app_20260803_103201.log
INFO | 应用 | 图像处理工具 1.0.0
10:32:01.896 | INFO | 程序启动
10:32:01.896 | INFO | 可执行文件 | D:/Qt/project/opencv/bin/debug/opencv.exe
10:32:01.897 | INFO | 图像内存上限 | 不限制
10:32:01.903 | INFO | 已加载插件翻译 | D:/Qt/project/opencv/bin/debug/plugins/block_binarization_en.qm
10:32:01.904 | INFO | 已加载外部插件 | block_binarization.dll → 二值化处理
10:32:01.907 | INFO | 已加载插件翻译 | D:/Qt/project/opencv/bin/debug/plugins/block_filter_en.qm
10:32:01.907 | INFO | 已加载外部插件 | block_filter.dll → 滤波处理
10:32:02.041 | INFO | 已加载插件翻译 | D:/Qt/project/opencv/bin/debug/plugins/block_glcm_en.qm
10:32:02.041 | INFO | 已加载外部插件 | block_glcm.dll → 灰度共生矩阵
10:32:02.186 | INFO | 已加载插件翻译 | D:/Qt/project/opencv/bin/debug/plugins/block_graytransform_en.qm
10:32:02.187 | INFO | 已加载外部插件 | block_graytransform.dll → 灰度变换
10:32:02.191 | INFO | 已加载插件翻译 | D:/Qt/project/opencv/bin/debug/plugins/block_morphology_en.qm
10:32:02.191 | INFO | 已加载外部插件 | block_morphology.dll → 形态学处理
10:32:02.326 | INFO | 已加载插件翻译 | D:/Qt/project/opencv/bin/debug/plugins/block_pseudocolor_en.qm
10:32:02.327 | INFO | 已加载外部插件 | block_pseudocolor.dll → 伪彩色处理
10:32:02.327 | INFO | 尝试插件目录 | D:/Qt/project/opencv/bin/debug/plugins → 6
10:32:02.328 | INFO | 算法插件 | 目录=D:/Qt/project/opencv/bin/debug/plugins 加载=6
10:32:03.546 | INFO | 会话已加载 | path=D:/Qt/project/opencv/bin/debug/sessions/app_sessions.json count=1
10:32:04.032 | INFO | 切换主题 | light
10:32:04.123 | INFO | 主窗口已显示
10:32:11.494 | INFO | 打开单张图片 | C:/Users/Admin/Desktop/图片/input.png
10:32:11.551 | INFO | 清空处理链 | removed=0 reprocessAfter=否
10:32:11.637 | INFO | 添加处理块 | name=二值化处理 index=0
10:32:11.639 | INFO | 恢复会话 | blocks=1 rois=1
10:32:11.640 | INFO | 开始处理 | path=C:/Users/Admin/Desktop/图片/input.png blocks=1 enabled=1 rois=1 chain=[二值化处理]
10:32:11.697 | INFO | 执行处理块 | name=二值化处理 elapsed=56 ms rois=1
10:32:11.698 | INFO | 流水线结束 | total=58 ms steps=[二值化处理(56ms)]
10:32:11.700 | INFO | 处理完成 | elapsed=58 ms path=C:/Users/Admin/Desktop/图片/input.png result=1066x1061
10:32:11.700 | INFO | 加载图片 | path=C:/Users/Admin/Desktop/图片/input.png size=1066x1061 prev=(无) session=恢复 blocks=1 rois=1
10:32:15.630 | INFO | 撤销快照 | reason=添加旋转矩形ROI depth=1
10:32:15.630 | INFO | 添加ROI | type=rotatedRect center=(533,530.5) size=140x100 total=2
10:32:15.697 | INFO | 开始处理 | path=C:/Users/Admin/Desktop/图片/input.png blocks=1 enabled=1 rois=2 chain=[二值化处理]
10:32:15.725 | INFO | 执行处理块 | name=二值化处理 elapsed=26 ms rois=2
10:32:15.726 | INFO | 流水线结束 | total=27 ms steps=[二值化处理(26ms)]
10:32:15.727 | INFO | 处理完成 | elapsed=27 ms path=C:/Users/Admin/Desktop/图片/input.png result=1066x1061
10:32:16.753 | INFO | 撤销快照 | reason=修改ROI depth=2
10:32:17.146 | INFO | 开始处理 | path=C:/Users/Admin/Desktop/图片/input.png blocks=1 enabled=1 rois=2 chain=[二值化处理]
10:32:17.174 | INFO | 执行处理块 | name=二值化处理 elapsed=28 ms rois=2
10:32:17.175 | INFO | 流水线结束 | total=29 ms steps=[二值化处理(28ms)]
10:32:17.176 | INFO | 处理完成 | elapsed=29 ms path=C:/Users/Admin/Desktop/图片/input.png result=1066x1061
10:32:17.404 | INFO | 撤销快照 | reason=修改ROI depth=3
10:32:17.749 | INFO | 开始处理 | path=C:/Users/Admin/Desktop/图片/input.png blocks=1 enabled=1 rois=2 chain=[二值化处理]
10:32:17.776 | INFO | 执行处理块 | name=二值化处理 elapsed=26 ms rois=2
10:32:17.777 | INFO | 流水线结束 | total=27 ms steps=[二值化处理(26ms)]
10:32:17.778 | INFO | 处理完成 | elapsed=27 ms path=C:/Users/Admin/Desktop/图片/input.png result=1066x1061
10:32:18.674 | INFO | 撤销快照 | reason=修改ROI depth=4
10:32:18.983 | INFO | 开始处理 | path=C:/Users/Admin/Desktop/图片/input.png blocks=1 enabled=1 rois=2 chain=[二值化处理]
10:32:19.008 | INFO | 执行处理块 | name=二值化处理 elapsed=23 ms rois=2
10:32:19.008 | INFO | 流水线结束 | total=25 ms steps=[二值化处理(23ms)]
10:32:19.009 | INFO | 处理完成 | elapsed=25 ms path=C:/Users/Admin/Desktop/图片/input.png result=1066x1061
10:32:20.039 | INFO | 撤销快照 | reason=修改ROI depth=5
10:32:20.844 | INFO | 开始处理 | path=C:/Users/Admin/Desktop/图片/input.png blocks=1 enabled=1 rois=2 chain=[二值化处理]
10:32:20.871 | INFO | 执行处理块 | name=二值化处理 elapsed=25 ms rois=2
10:32:20.871 | INFO | 流水线结束 | total=26 ms steps=[二值化处理(25ms)]
10:32:20.873 | INFO | 处理完成 | elapsed=26 ms path=C:/Users/Admin/Desktop/图片/input.png result=1066x1061
10:32:22.331 | INFO | 开始处理 | path=C:/Users/Admin/Desktop/图片/input.png blocks=1 enabled=1 rois=2 chain=[二值化处理]
10:32:22.357 | INFO | 执行处理块 | name=二值化处理 elapsed=24 ms rois=2
